item,field,raw_value,assigned_target,assigned_id,your_verdict,matched_id,confusion(auto:correct=TP/incorrect=FP/inappropriate=FN/appropriate=TN)
96,Treatment,1ng/ml LPS,1ng/ml LPS,OOV-X-985793487D,inappropriate,,
97,Treatment,DMSO,Dimethyl Sulfoxide,D004121,correct,,
98,Treatment,stably transfected (using vector 311) to express Cas9 protein,CRISPR-Associated Proteins,D064130,correct,,
99,Treatment,stably transfected (using vector 101) to express Cas9 protein,CRISPR-Associated Proteins,D064130,correct,,
100,Treatment,Ustekinumab,Ustekinumab,D000069549,correct,,
101,Treatment,ionizing radiation (IR),Whole-Body Irradiation,D014916,incorrect,,
102,Treatment,Mannitol 2mM,Mannitol,D008353,correct,,
103,Treatment,CWC27 knockdown,Gene Knockdown Techniques,D055785,correct,,
104,Treatment,2000 µM Lithium Carbonate,Lithium Carbonate,D016651,correct,,
105,Treatment,TNFα; control siRNA (siSTABLE V2 non-targeting siRNA#1),Tumor Necrosis Factor-alpha; Not Specified,D014409;,correct,,
106,Treatment,Steroids PO,Steroids,D013256,correct,,
107,Tissue,Induced cardiomyocyte (reprogrammed cell),Induced cardiomyocyte (reprogrammed cell),OOV-T-B0DAB0DF85,appropriate,,
108,Tissue,human transplanted kidney,Kidney,D007668,correct,,
109,Condition,Glioma; Glioblastoma multiforme; who grade: IV,Glioma; Glioblastoma; WHO grade: IV,D005910; D005909; ART-C-03628,correct,,
110,Condition,HER2 positive metastatic breast cancer,HER2 positive metastatic breast cancer,OOV-C-5D29D31894,inappropriate,,
111,Treatment,cp-61482,cp-61482,OOV-X-0E3F04BD7B,appropriate,,
112,Treatment,ORF_NOD2,Nod2 Signaling Adaptor Protein,D053473,correct,,
113,Tissue,MoDC,mo-DC,OOV-T-347A06E124,indeterminate,,
114,Tissue,neonatal primary fibroblasts,Fibroblasts,D005347,correct,,
115,Condition,"Adenocarcinoma, Papillary, NOS",Adenocarcinoma,D000230,correct,,
116,Condition,psoriatic patient; lesional scalp sample,psoriatic patient; lesional scalp sample,OOV-C-6296E4F0DE,inappropriate,,
117,Treatment,"rKGF (10 ng/ml, 24h)","rKGF (10 ng/ml, 24h)",OOV-X-E3DC639CD8,indeterminate,,
118,Treatment,"osteogenic differentiating Dulbecco’s Modified Medium (DMEM) low glucose (1g/l) containing ascorbic acid (50 μg/ml), dexamethasone (Dex,10E−8 M) and 5% FBS; 2 mM Gln; 380 µM Asparagine (Asn)",Dexamethasone; 2 mM Gln; Asparagine,D003907; ART-X-23510; D001216,correct,,
119,Tissue,B-cell chronic lymphocytic leukemia (B-CLL) cells,B-cell chronic lymphocytic leukemia (B-CLL) cells,OOV-T-56975C82AD,appropriate,,
120,Tissue,Oropharynx,Oropharynx,D009960,correct,,
121,Condition,breast tumour; grade: 2,Breast Neoplasms; grade: 2,D001943; ART-C-00144,correct,,
122,Condition,follicular_carcinoma,follicular_carcinoma,OOV-C-C3DF455D0F,inappropriate,,
123,Treatment,MDA-MB-231 exosomes that have a Dicer antibody inside,MDA-MB-231 exosomes that have a Dicer antibody inside,OOV-X-394FFA8660,appropriate,,
124,Treatment,240 MIN EGF STIMULATED,Epidermal Growth Factor,D004815,correct,,
125,Tissue,Breast Cancer Adenomcarcinoma cell line,Breast Cancer Adenomcarcinoma cell line,OOV-T-A71594F18A,appropriate,,
126,Tissue,Kidney; CAKI-1; Cancer cell line,Kidney; Caki-1; Cell Line,D007668; CVCL_0234; D002460,correct,,
127,Condition,Bladder Cancer; pT3; TCC; High; metastasis; local recurrence,Urinary Bladder Neoplasms; pT3; TCC; High; Neoplasm Metastasis; Recurrence,D001749; ART-C-03700; ART-C-06038; ART-C-01521; D009362; D012008,correct,,
128,Condition,Dust Mite Atopic Patch Skin,Dust Mite Atopic Patch Skin,OOV-C-1538160F65,appropriate,,
129,Treatment,RAF1 transfected,RAF1 transfected,OOV-X-60EB8AFD71,appropriate,,
130,Treatment,PMA_Ionomycin_24h,Ionomycin,D015759,correct,,
131,Tissue,nasopharyngeal carcinoma,nasopharyngeal carcinoma,OOV-T-886E83556C,appropriate,,
132,Tissue,induced human pluripotent stem cells,Induced Pluripotent Stem Cells,D057026,correct,,
133,Condition,B cell lymphoma,"Lymphoma, B-Cell",D016393,correct,,
134,Condition,Ctrl Normoxia,Ctrl Normoxia,OOV-C-64B341F379,appropriate,,
135,Treatment,cp-52706,cp-52706,OOV-X-F828326FD5,appropriate,,
136,Treatment,"splenectomy, allo BMTx",Splenectomy,D013156,correct,,
137,Tissue,B-ALL-94,B-ALL-94,OOV-T-79EFFC6AC9,indeterminate,,
138,Tissue,Splanchnic mesoderm,Mesoderm,D008648,correct,,
139,Condition,"Acute gangrenous appendicitis, nonperforated",Appendicitis,D001064,correct,,
140,Condition,CD40 activated,CD40 activated,OOV-C-6BC9C6ECB9,appropriate,,
141,Treatment,miR-196b overexpressing,miR-196b overexpressing,OOV-X-7DC6A3E05B,appropriate,,
142,Treatment,GATA3,GATA3 Transcription Factor,D050990,correct,,
143,Tissue,Occular Adnexa MALT lymphoma,Occular Adnexa MALT lymphoma,OOV-T-043877F4B3,appropriate,,
144,Tissue,hematopoietic stem cell (HSC),Hematopoietic Stem Cells,D006412,correct,,
145,Condition,Clear cells,"Adenocarcinoma, Clear Cell",D018262,incorrect,,
146,Condition,HIV-1 subtype C infected; HIV seropositive on therapy immunolgical failure (ART-IF),HIV-1 subtype C infected; HIV seropositive on therapy immunolgical failure (ART-IF),OOV-C-4DDA0EF74F,inappropriate,,
147,Treatment,empty vector transfection; DMSO,empty vector transfection; DMSO,OOV-X-9631D33913,appropriate,,
148,Treatment,recombinant human Tpo (rhTpo),Thrombopoietin,D013926,correct,,
149,Tissue,ossified ligament,ossified ligament,OOV-T-235F5547B3,appropriate,,
150,Tissue,Prostate biopsy,Prostate,D011467,correct,,
