item,field,raw_value,assigned_id,instances,verdict,matched_id
70,Tissue,Primary NSCLC,OOV-T-97A59F7045,152,appropriate,
71,Condition,CHD7 variant,OOV-C-F639D5AB20,53,appropriate,
72,Treatment,ETEC strain H10407,OOV-X-59593A0D28,72,appropriate,
73,Treatment,Medium,OOV-X-72D7CF97C2,57,appropriate,
74,Treatment,LPS,ART-X-00026,808,inappropriate,D008070
75,Treatment,Mid dose,OOV-X-D934B587DA,144,appropriate,
76,Treatment,YM-201636 0.37µM,OOV-X-EFFD2F2E76,54,appropriate,
77,Treatment,MCV4,ART-X-04690,51,inappropriate,D022401
78,Tissue,Mantle Cell Lymphoma,OOV-T-EA382C86E5,115,appropriate,
79,Tissue,Stool,OOV-T-E9D0AF0B55,338,inappropriate,D005243
80,Condition,Stage: 4,OOV-C-251EA59AD9,99,appropriate,
81,Treatment,PPROM,ART-X-23687,78,appropriate,
82,Condition,Unstimulated,OOV-C-19B1977B36,59,appropriate,
83,Treatment,AS-601245 1.11µM,OOV-X-CAE150557D,54,appropriate,
84,Condition,Deaf,ART-C-03706,100,inappropriate,D003638
85,Treatment,parous parity,OOV-X-A359D6FC7F,124,appropriate,
86,Tissue,CD133-positive immature blasts,OOV-T-96CF466758,67,appropriate,
87,Condition,non-responder,OOV-C-67F4E34D13,74,appropriate,
88,Treatment,0-10 g/day alcohol intake,OOV-X-71BC6D4FB4,267,appropriate,
89,Tissue,diffuse large b-cell lymphoma (DLBCL),OOV-T-81752E4914,249,appropriate,
90,Treatment,L18MDP,OOV-X-688F7558D2,67,appropriate,
91,Tissue,cervico-vaginal material,OOV-T-54CCCD6C82,68,appropriate,
92,Treatment,AZD-8330 10µM,OOV-X-0E13F07417,55,appropriate,
93,Treatment,RT+PCV,OOV-X-ADA5204F3D,53,appropriate,
94,Condition,CONTROL,OOV-C-D2446A4E3F,683,appropriate,
95,Condition,non-tumor,OOV-C-8F4BC153BC,567,appropriate,
96,Treatment,ITGA11,OOV-X-883BDD99D1,60,appropriate,
97,Treatment,Placebo IV,OOV-X-04A3FEC143,233,appropriate,
98,Treatment,AS03A,ART-X-26102,205,appropriate,
99,Treatment,PD-173074 1.11µM,OOV-X-3721EC286B,70,appropriate,
100,Treatment,EtOH,ART-X-00932,123,inappropriate,D000431
101,Treatment,Carrier,OOV-X-75F37416ED,232,appropriate,
102,Treatment,UVC treatment,OOV-X-9588712630,73,appropriate,
103,Treatment,PHA-665752 0.37µM,OOV-X-01BD19CA14,55,appropriate,
104,Treatment,pre-treatment,OOV-X-518645D4D4,378,appropriate,
105,Tissue,biopsy,OOV-T-1D484C27CB,326,appropriate,
106,Condition,Healthy Volunteer,OOV-C-CDFF8C0428,84,appropriate,
107,Condition,Vata,ART-C-00847,56,appropriate,
108,Treatment,BMS-387032 0.04µM,OOV-X-04882AEA38,73,appropriate,
109,Treatment,GSK-2126458 10µM,OOV-X-437FC09C85,62,appropriate,
110,Treatment,NeoAdjuvant,OOV-X-D212262CB2,146,inappropriate,D020360
111,Treatment,torin-1 10µM,OOV-X-777E52B647,68,appropriate,
112,Treatment,CYT387 0.04µM,OOV-X-8D44C48E2C,59,appropriate,
113,Treatment,MMF,ART-X-00587,295,inappropriate,D009173
114,Treatment,GDC-0980 1.11µM,OOV-X-1E361ED85F,51,appropriate,
115,Condition,non-metastatic prostate cancer,OOV-C-C4C3FE2162,70,inappropriate,D011471
116,Tissue,Colorecal Cancer,OOV-T-E06CC1BD06,468,appropriate,
117,Treatment,10nM DHT,OOV-X-B6B2DC2715,84,appropriate,
118,Condition,scz patient,OOV-C-50D987E52D,86,inappropriate,D012559
119,Condition,born small for gestational age (SGA),OOV-C-AA250E76F8,63,appropriate,
120,Treatment,fostamatinib 1.11µM,OOV-X-BDB06D8E51,68,appropriate,
121,Treatment,cp-81518,OOV-X-09B6284ABD,1,appropriate,
122,Tissue,HUC1,ART-T-00101,2,indeterminate,
123,Treatment,BafA,ART-X-26741,3,appropriate,
124,Treatment,siLincSTXBP5,OOV-X-AF45DBF418,3,appropriate,
125,Treatment,KIN001-055 1.11µM,OOV-X-72BFCA9F2C,39,appropriate,
126,Treatment,pyrazolanthrone 0.12µM,OOV-X-115A0DA3DE,38,appropriate,
127,Treatment,TG,ART-X-29262,8,indeterminate,
128,Tissue,GBM 104,OOV-T-3EFC8929F5,2,indeterminate,
129,Treatment,pacritinib,OOV-X-08D9A4D577,1,appropriate,
130,Tissue,human-derived melanoma cells,OOV-T-FEB3936798,17,appropriate,
131,Treatment,FECH siRNA + 5-ALA,OOV-X-966D7A09E6,3,appropriate,
132,Condition,Endometrioid,OOV-C-2AA1B93977,3,inappropriate,D018269
133,Treatment,SJE2A066,OOV-X-39D3A8A877,1,appropriate,
134,Tissue,Acute Lymphoblastic Leukemia cells (>90% blasts),OOV-T-0DB4BAF1A4,10,appropriate,
135,Treatment,1ng/ml LPS,OOV-X-985793487D,3,appropriate,
136,Treatment,cp-61482,OOV-X-0E3F04BD7B,1,appropriate,
137,Treatment,cp-70309,OOV-X-B3431FFA55,1,appropriate,
138,Treatment,"rKGF (10 ng/ml, 24h)",OOV-X-E3DC639CD8,3,appropriate,
139,Treatment,cp-3856,OOV-X-2E46757CCA,1,appropriate,
140,Treatment,MDA-MB-231 exosomes that have a Dicer antibody inside,OOV-X-394FFA8660,1,appropriate,
141,Condition,AdenoCa,OOV-C-2AA52AC531,9,inappropriate,D000230
142,Condition,ITGA3 mutation,OOV-C-BFF70CCF1C,1,appropriate,
143,Condition,infected with KY/136 (pdmH1N1),OOV-C-99E64C9B0B,3,inappropriate,D007251
144,Treatment,MDM2_p.S221C,OOV-X-3AD9D093E8,2,appropriate,
145,Condition,BRCA2 'one-hit' mutant,OOV-C-0AAA00359B,12,appropriate,
146,Treatment,RAF1 transfected,OOV-X-60EB8AFD71,5,appropriate,
147,Condition,activated metaphase-2 oocyte,OOV-C-BD0E094E01,4,appropriate,
148,Condition,MCT8 mutation,OOV-C-3DCF37D5FB,12,appropriate,
149,Treatment,cp-61413,OOV-X-EE55FC7465,1,appropriate,
150,Treatment,cp-52706,OOV-X-F828326FD5,1,appropriate,
151,Treatment,MLN0128,OOV-X-4302872BE4,2,appropriate,
152,Treatment,miR-196b overexpressing,OOV-X-7DC6A3E05B,3,appropriate,
153,Condition,"AML with t(8; 16), therapy-related",OOV-C-2A59AA74DF,1,inappropriate,D015470
154,Treatment,Palbociclib and PD0325901,OOV-X-A6A133ED07,3,appropriate,
155,Treatment,empty vector transfection; DMSO,OOV-X-9631D33913,8,appropriate,
156,Condition,MIXED; Grade 3,OOV-C-318EEEE4A7,2,appropriate,
157,Treatment,cp-80197,OOV-X-8C21379AFD,1,appropriate,
158,Condition,primary prostate cancer; T2N0; Gleason Score: 9,OOV-C-2EF664BEA1,7,inappropriate,D011471
159,Treatment,MAP8 backbone; peptide: GR,OOV-X-C46C7195AE,1,appropriate,
160,Condition,aspirin resistant,OOV-C-C3FA8217EF,8,appropriate,
161,Treatment,cp-59454,OOV-X-06530BEE14,1,appropriate,
162,Condition,psoriatic patient; lesional scalp sample,OOV-C-6296E4F0DE,3,inappropriate,D011565
163,Treatment,1.0625um,OOV-X-7C1B74017C,1,appropriate,
164,Treatment,cp-59293,OOV-X-A0A0CF5317,1,appropriate,
165,Condition,head and neck,OOV-C-D289F07922,4,appropriate,
166,Treatment,T2D donors,OOV-X-CE8BFCDF85,2,appropriate,
167,Treatment,smoker; 30-day mean pm2.5 exposure level: 8.17597,OOV-X-0766BF728F,1,appropriate,
168,Tissue,MDA-HNS-073,OOV-T-4D46A4B83D,1,indeterminate,
169,Treatment,cp-81787,OOV-X-576ACDD378,1,appropriate,
170,Treatment,DCC-2036 10µM,OOV-X-F644D53058,31,appropriate,
171,Treatment,0.01% carvacrol for 15 minutes,OOV-X-1C00D945A0,1,appropriate,
172,Condition,follicular_carcinoma,OOV-C-C3DF455D0F,4,inappropriate,D018263
173,Treatment,cp-51621,OOV-X-6257980438,1,appropriate,
174,Treatment,scratched,OOV-X-803D48E9D8,20,appropriate,
175,Tissue,TestiGermCell,OOV-T-616B4E471B,1,inappropriate,D005854
176,Condition,head and neck cancer cells,OOV-C-AE7A3CFA53,4,inappropriate,D006258
177,Treatment,cp-928,OOV-X-219EB7A5C6,1,appropriate,
178,Condition,Dust Mite Atopic Patch Skin,OOV-C-1538160F65,10,appropriate,
179,Condition,AH; LCIS,OOV-C-AF34311229,1,appropriate,
180,Treatment,recombinant cytokines IFNg and TNFa,OOV-X-BB07CF0D80,2,appropriate,
181,Treatment,200 nM LX1077,OOV-X-9B63D96607,4,appropriate,
182,Treatment,Vata-Pitta prakriti,OOV-X-FF1E9033FD,10,appropriate,
183,Treatment,pReceiver-M11 containing mutated CARD14sh_L150R,OOV-X-BC1CB9E923,1,appropriate,
184,Condition,Ctrl Normoxia,OOV-C-64B341F379,3,appropriate,
185,Treatment,cp-73554,OOV-X-C0FA2E9B4B,1,appropriate,
186,Tissue,primary human brain microvascular endothelial cells,OOV-T-71F360D6A6,6,inappropriate,D042783
187,Treatment,BYL719 and GSK2334470,OOV-X-6150BA6199,6,appropriate,
188,Treatment,cp-70797,OOV-X-BEE731A34E,1,appropriate,
189,Treatment,Meal C (1500 kcal),OOV-X-0211CA1D87,13,appropriate,
190,Treatment,PRO023POST plasma,OOV-X-2AA6D81ECA,1,appropriate,
191,Condition,Weight Stable,OOV-C-C0C8DCA1A7,7,appropriate,
192,Treatment,high n3 level tertile; low sfa/pufa ratio tertile; middle n6 level tertile,OOV-X-A470484992,1,appropriate,
193,Tissue,Gastrocnemius,OOV-T-963C09C763,9,inappropriate,D018482
194,Tissue,Ewing's sarcoma cell line; SK-N-MC,OOV-T-CF3FBD08F6,1,inappropriate,CVCL_0530
195,Treatment,cp-79609,OOV-X-27C336AABE,1,appropriate,
196,Treatment,smoker; 30-day mean pm2.5 exposure level: 7.68651,OOV-X-6DB91CBA4E,1,appropriate,
197,Treatment,cp-71148,OOV-X-42DB79AFAC,1,appropriate,
198,Treatment,cp-50198,OOV-X-825D398698,1,appropriate,
199,Tissue,Rectal cancer tissue,OOV-T-5CEE69680B,2,appropriate,
200,Condition,CD40 activated,OOV-C-6BC9C6ECB9,3,appropriate,
